time,yaw,pitch,roll
2020-12-06 22:41:26.1910,146.32,7.47,-171.18
2020-12-06 22:41:26.2910,146.72,8.22,-170.44
2020-12-06 22:41:26.3910,147.07,8.42,-171.08
2020-12-06 22:41:26.4910,147.34,8.2,-172.39
2020-12-06 22:41:26.5910,148.01,9.28,-173.08
2020-12-06 22:41:26.6910,148.2,8.73,-174.66
2020-12-06 22:41:26.7910,148.41,8.69,-173.91
2020-12-06 22:41:26.8900,148.26,9.14,-175.08
2020-12-06 22:41:26.9900,147.88,8.41,-175.3
2020-12-06 22:41:27.0900,147.05,8.22,-173.36
2020-12-06 22:41:27.1900,146.52,8.86,-172.36
2020-12-06 22:41:27.2900,146.26,8.53,-171.31
2020-12-06 22:41:27.3890,145.98,7.7,-171.57
2020-12-06 22:41:27.4890,146.0,7.84,-170.52
2020-12-06 22:41:27.5880,146.31,7.83,-171.49
2020-12-06 22:41:27.6880,146.41,6.75,-171.47
2020-12-06 22:41:27.7880,146.47,6.87,-172.29
2020-12-06 22:41:27.8880,146.6,7.06,-171.81
2020-12-06 22:41:27.9880,146.65,7.14,-172.54
2020-12-06 22:41:28.0880,146.84,6.7,-171.09
2020-12-06 22:41:28.1870,146.64,6.67,-172.41
2020-12-06 22:41:28.2880,146.75,8.0,-171.48
2020-12-06 22:41:28.3870,146.51,8.18,-171.89
2020-12-06 22:41:28.4860,146.64,9.6,-171.61
2020-12-06 22:41:28.5890,146.9,9.62,-170.43
2020-12-06 22:41:28.6760,147.18,9.62,-171.5
2020-12-06 22:41:28.7760,147.77,10.56,-172.75
2020-12-06 22:41:28.8770,148.24,11.6,-172.44
2020-12-06 22:41:28.9710,148.65,15.05,-173.77
2020-12-06 22:41:29.0760,149.33,17.48,-175.24
2020-12-06 22:41:29.1750,148.98,18.63,-176.31
2020-12-06 22:41:29.2750,149.48,20.14,-177.78
2020-12-06 22:41:29.3760,150.36,21.22,-178.58
2020-12-06 22:41:29.4760,150.34,20.74,-178.83
2020-12-06 22:41:29.5760,149.3,20.21,-178.83
2020-12-06 22:41:29.6760,149.01,20.66,-179.01
2020-12-06 22:41:29.7740,148.53,20.58,-177.92
2020-12-06 22:41:29.8750,148.09,19.8,-178.84
2020-12-06 22:41:29.9750,147.95,21.15,-178.01
2020-12-06 22:41:30.0740,148.47,22.52,-177.52
2020-12-06 22:41:30.1730,149.15,22.05,-179.31
2020-12-06 22:41:30.2720,149.73,21.73,179.27
2020-12-06 22:41:30.3690,148.98,20.41,179.94
2020-12-06 22:41:30.4730,148.37,18.97,-179.69
2020-12-06 22:41:30.5730,147.58,17.88,-179.12
2020-12-06 22:41:30.6730,146.68,16.75,-178.22
2020-12-06 22:41:30.7720,146.14,16.92,-178.06
2020-12-06 22:41:30.8720,145.91,17.88,-177.65
2020-12-06 22:41:30.9720,146.19,17.45,-177.19
2020-12-06 22:41:31.0720,146.02,15.89,-176.53
2020-12-06 22:41:31.1710,146.11,15.43,-176.16
2020-12-06 22:41:31.2710,146.99,14.44,-176.64
2020-12-06 22:41:31.3710,147.23,11.48,-175.6
2020-12-06 22:41:31.4710,148.09,10.22,-175.22
2020-12-06 22:41:31.5690,149.19,9.51,-175.39
2020-12-06 22:41:31.6690,150.47,9.61,-175.11
2020-12-06 22:41:31.7700,149.57,7.98,-174.27
2020-12-06 22:41:31.8700,149.58,7.93,-173.68
2020-12-06 22:41:31.9700,149.49,6.5,-172.59
2020-12-06 22:41:32.0690,148.94,6.08,-173.01
2020-12-06 22:41:32.1700,149.28,7.15,-173.46
2020-12-06 22:41:32.2680,149.25,5.87,-174.1
2020-12-06 22:41:32.3690,149.12,5.98,-174.76
2020-12-06 22:41:32.4680,149.43,7.01,-173.44
2020-12-06 22:41:32.5670,149.57,7.14,-174.6
2020-12-06 22:41:32.6690,149.13,6.14,-174.72
2020-12-06 22:41:32.7670,149.15,7.5,-173.69
2020-12-06 22:41:32.8670,149.77,8.47,-173.82
2020-12-06 22:41:32.9660,150.66,9.38,-175.23
2020-12-06 22:41:33.0670,151.52,8.53,-176.24
2020-12-06 22:41:33.1710,151.69,8.27,-176.57
2020-12-06 22:41:33.2710,150.86,7.55,-175.57
2020-12-06 22:41:33.3710,150.02,5.6,-175.91
2020-12-06 22:41:33.4680,150.04,5.45,-176.13
2020-12-06 22:41:33.5700,149.61,5.83,-177.05
2020-12-06 22:41:33.6700,149.18,6.67,-178.13
2020-12-06 22:41:33.7700,149.07,10.39,-178.21
2020-12-06 22:41:33.8690,147.47,10.71,-176.66
2020-12-06 22:41:33.9690,146.93,6.68,-174.86
2020-12-06 22:41:34.0690,146.48,5.51,-175.0
2020-12-06 22:41:34.1690,146.49,6.5,-175.73
2020-12-06 22:41:34.2680,146.89,8.06,-177.2
2020-12-06 22:41:34.3680,147.28,8.7,-178.17
2020-12-06 22:41:34.4690,147.86,9.65,-177.68
2020-12-06 22:41:34.5680,148.57,10.26,-177.43
2020-12-06 22:41:34.6690,149.35,9.61,-178.66
2020-12-06 22:41:34.7670,149.48,8.41,-179.56
2020-12-06 22:41:34.8680,149.55,9.1,-178.14
2020-12-06 22:41:34.9670,149.71,9.83,-178.16
2020-12-06 22:41:35.0650,149.74,10.08,-178.46
2020-12-06 22:41:35.1660,149.8,9.86,-178.39
2020-12-06 22:41:35.2650,149.86,10.78,-178.13
2020-12-06 22:41:35.3660,150.14,11.18,-178.06
2020-12-06 22:41:35.4650,150.46,11.16,-177.36
2020-12-06 22:41:35.5660,150.98,10.94,-178.95
2020-12-06 22:41:35.6650,151.22,10.02,-178.77
2020-12-06 22:41:35.7650,150.93,9.33,-178.46
2020-12-06 22:41:35.8650,150.57,9.68,-178.34
2020-12-06 22:41:35.9650,150.34,9.97,-176.8
2020-12-06 22:41:36.0640,150.58,10.48,-175.85
2020-12-06 22:41:36.1650,150.93,11.29,-176.41
2020-12-06 22:41:36.2630,151.3,11.35,-177.0
2020-12-06 22:41:36.3630,151.92,12.11,-177.5
2020-12-06 22:41:36.4630,152.57,12.26,-178.79
2020-12-06 22:41:36.5630,153.14,12.66,-178.54
2020-12-06 22:41:36.6610,153.78,11.99,-179.41
2020-12-06 22:41:36.7590,154.41,12.32,179.19
2020-12-06 22:41:36.8530,154.73,11.92,178.6
2020-12-06 22:41:36.9540,154.44,11.72,179.27
2020-12-06 22:41:37.0580,153.63,12.31,-179.51
2020-12-06 22:41:37.1620,152.99,12.76,-177.79
2020-12-06 22:41:37.2600,152.66,12.49,-176.67
2020-12-06 22:41:37.3590,152.77,12.31,-177.02
2020-12-06 22:41:37.4600,153.09,12.58,-177.58
2020-12-06 22:41:37.5610,153.36,12.5,-178.25
2020-12-06 22:41:37.6600,153.6,12.8,-177.88
2020-12-06 22:41:37.7600,154.03,13.15,-178.31
2020-12-06 22:41:37.8600,154.55,13.66,179.99
2020-12-06 22:41:37.9600,154.57,14.51,-179.81
2020-12-06 22:41:38.0600,154.38,14.28,-179.22
2020-12-06 22:41:38.1590,154.33,14.76,-178.03
2020-12-06 22:41:38.2600,154.56,14.87,-177.52
2020-12-06 22:41:38.3590,155.01,14.1,-178.2
2020-12-06 22:41:38.4590,155.05,13.57,-178.05
2020-12-06 22:41:38.5590,154.97,13.1,-178.33
