time,wx (rad/s),wy (rad/s),wz (rad/s)
0.454,0.00,-0.00,-0.00
0.456,0.00,0.00,-0.00
0.459,-0.00,0.00,0.00
0.461,0.00,0.00,-0.00
0.464,0.00,0.00,-0.00
0.466,-0.00,0.00,-0.00
0.469,0.00,0.00,-0.00
0.471,0.00,0.00,-0.00
0.474,0.00,0.00,-0.00
0.479,0.00,0.00,-0.00
0.480,0.00,-0.00,-0.00
0.481,0.00,0.00,-0.00
0.484,-0.00,0.00,-0.00
0.486,0.00,0.00,0.00
0.489,0.00,0.00,-0.00
0.491,0.00,0.00,-0.00
0.494,0.00,0.00,-0.00
0.496,0.00,0.00,-0.00
0.499,-0.00,0.00,-0.00
0.501,0.00,-0.00,-0.00
0.504,0.00,0.00,0.00
0.506,0.00,0.00,-0.00
0.510,0.00,0.00,-0.00
0.512,0.00,0.00,-0.00
0.514,0.00,0.00,-0.00
0.516,0.00,0.00,-0.00
0.519,-0.00,0.00,-0.00
0.522,0.00,0.00,-0.00
0.524,0.00,0.00,-0.00
0.527,0.00,0.00,-0.00
0.529,0.00,0.00,-0.00
0.532,0.00,-0.00,-0.00
0.534,0.00,0.00,-0.00
0.537,0.00,0.00,-0.00
0.539,0.00,-0.00,-0.00
0.542,-0.00,0.00,-0.00
0.544,-0.00,0.00,-0.00
0.547,-0.00,-0.00,-0.00
0.550,-0.00,0.00,-0.00
0.552,0.00,0.00,-0.00
0.554,0.00,-0.00,-0.00
0.557,0.00,-0.00,-0.00
0.559,0.00,0.00,-0.00
0.562,0.00,0.00,0.00
0.565,0.00,0.00,-0.00
0.568,-0.00,0.00,-0.00
0.569,-0.00,0.00,0.00
0.572,0.00,0.00,-0.00
0.575,0.00,-0.00,-0.00
0.577,0.00,0.00,-0.00
0.580,0.00,0.00,0.00
0.582,0.00,-0.00,-0.00
0.584,0.00,0.00,-0.00
0.588,0.00,0.00,-0.00
0.590,0.00,0.00,-0.00
0.592,0.00,0.00,-0.00
0.595,0.00,0.00,-0.00
0.597,0.00,0.00,-0.00
0.600,-0.00,0.00,-0.00
0.603,0.00,0.00,-0.00
0.605,0.00,0.00,-0.00
0.607,0.00,0.00,-0.00
0.612,-0.00,0.00,-0.00
0.613,0.00,0.00,-0.00
0.615,0.00,0.00,-0.00
0.617,0.00,0.00,-0.00
0.620,0.00,0.00,-0.00
0.622,-0.00,-0.00,-0.00
0.625,0.00,0.00,0.00
0.627,0.00,0.00,-0.00
0.630,0.00,-0.00,0.00
0.632,0.00,0.00,-0.00
0.635,0.00,0.00,-0.00
0.637,0.00,0.00,-0.00
0.640,0.00,0.00,-0.00
0.643,0.00,0.00,-0.00
0.645,0.00,0.00,0.00
0.648,0.00,0.00,-0.00
0.650,0.00,0.00,-0.00
0.653,0.00,0.00,-0.00
0.656,0.00,0.00,-0.00
0.658,-0.00,0.00,-0.00
0.660,-0.00,0.00,-0.00
0.663,-0.00,0.00,-0.00
0.665,-0.00,0.00,-0.00
0.668,0.00,0.00,-0.00
0.670,0.00,0.00,-0.00
0.673,-0.00,-0.00,-0.00
0.675,0.00,0.00,-0.00
0.678,0.00,0.00,-0.00
0.681,0.00,0.00,0.00
0.683,0.00,-0.00,-0.00
0.685,-0.00,-0.00,-0.00
0.688,0.00,0.00,-0.00
0.691,-0.00,0.00,-0.00
0.693,-0.00,-0.00,-0.00
0.696,0.00,0.00,-0.00
0.699,-0.00,-0.00,-0.00
0.701,0.00,0.00,-0.00
0.703,0.00,0.00,-0.00
0.705,0.00,-0.00,0.00
0.708,-0.00,-0.00,-0.00
0.711,0.00,-0.00,-0.00
0.713,0.00,0.00,-0.00
0.716,-0.00,-0.00,-0.00
0.718,-0.00,0.00,-0.00
0.721,0.00,-0.00,-0.00
0.723,0.00,-0.00,-0.00
0.726,-0.00,0.00,-0.00
0.729,0.00,0.00,-0.00
0.731,-0.00,0.00,0.00
0.733,0.00,0.00,-0.00
0.736,0.00,0.00,-0.00
0.738,-0.00,0.00,-0.00
0.741,0.00,0.00,0.00
0.745,0.00,0.00,-0.00
0.746,0.00,0.00,0.00
0.748,0.00,0.00,-0.00
0.751,0.00,0.00,-0.00
0.754,0.00,0.00,-0.00
0.756,-0.00,0.00,-0.00
0.758,0.00,0.00,0.00
0.761,0.00,0.00,-0.00
0.763,-0.00,0.00,-0.00
0.766,0.00,-0.00,-0.00
0.769,0.00,0.00,-0.00
0.772,0.00,0.00,0.00
0.773,0.00,0.00,-0.00
0.776,-0.00,0.00,-0.00
0.779,0.00,0.00,-0.00
0.781,-0.00,0.00,-0.00
0.783,0.00,0.00,0.00
0.786,0.00,0.00,-0.00
0.789,-0.00,0.00,-0.00
0.792,-0.00,0.00,0.00
0.794,0.00,0.00,-0.00
0.796,0.00,0.00,-0.00
0.799,0.00,0.00,-0.00
0.801,-0.00,0.00,0.00
0.804,0.00,-0.00,0.00
0.807,0.00,0.00,0.00
0.809,-0.00,0.00,0.00
0.812,0.00,0.00,-0.00
0.815,0.00,0.00,-0.00
0.817,-0.00,0.00,-0.00
0.819,0.00,-0.00,-0.00
0.823,0.00,-0.00,-0.00
0.824,0.00,0.00,-0.00
0.827,-0.00,0.00,-0.00
0.829,-0.00,0.00,-0.00
0.832,0.00,0.00,-0.00
0.834,0.00,0.00,-0.00
0.837,0.00,0.00,-0.00
0.839,-0.00,0.00,-0.00
0.841,-0.00,0.00,-0.00
0.844,0.00,0.00,-0.00
0.847,0.00,0.00,0.00
0.849,0.00,0.00,-0.00
0.852,0.00,0.00,0.00
0.858,0.00,0.00,-0.00
0.858,0.00,0.00,-0.00
0.859,0.00,0.00,0.00
0.862,-0.00,0.00,0.00
0.865,0.00,0.00,0.00
0.869,0.00,-0.00,-0.00
0.869,-0.00,0.00,-0.00
0.872,-0.00,0.00,-0.00
0.874,-0.00,0.00,-0.00
0.877,0.00,-0.00,-0.00
0.879,0.00,0.00,0.00
0.882,0.00,0.00,-0.00
0.884,0.00,0.00,-0.00
0.888,-0.00,0.00,-0.00
0.890,0.00,0.00,-0.00
0.892,-0.00,0.00,-0.00
0.895,-0.00,0.00,-0.00
0.897,0.00,-0.00,-0.00
0.901,0.00,0.00,-0.00
0.902,0.00,0.00,-0.00
0.905,0.00,0.00,-0.00
0.907,0.00,0.00,0.00
0.910,0.00,0.00,-0.00
0.912,0.00,0.00,-0.00
0.915,0.00,0.00,-0.00
0.917,-0.00,0.00,-0.00
0.922,-0.00,0.00,-0.00
0.922,-0.00,0.00,-0.00
0.925,-0.00,0.00,-0.00
0.927,-0.00,0.00,-0.00
0.930,-0.00,0.00,-0.00
0.933,-0.00,0.00,-0.00
0.935,0.00,0.00,-0.00
0.938,0.00,0.00,-0.00
0.940,-0.00,0.00,-0.00
0.943,-0.00,0.00,-0.00
0.945,0.00,-0.00,-0.00
0.948,0.00,-0.00,-0.00
0.951,0.00,0.00,-0.00
0.953,0.00,0.00,-0.00
0.957,-0.00,0.00,-0.00
0.959,0.00,0.00,-0.00
0.960,0.00,0.00,-0.00
0.963,0.00,0.00,-0.00
